Asset,NativeRPM,rtpc_RPM,RTPCPitchCents,AssetOffsetCents,FinalPitchCents,Status
TestCar_Engine_1000.wav,1000,1000,0.0,0,0.0,OK
TestCar_Engine_1000.wav,1000,1500,133.5,0,133.5,OK
TestCar_Engine_1000.wav,1000,2000,258.4,0,258.4,OK
TestCar_Engine_2000.wav,2000,1000,-258.4,0,-258.4,OK
TestCar_Engine_2000.wav,2000,1500,-124.8,0,-124.8,OK
TestCar_Engine_2000.wav,2000,2000,0.0,0,0.0,OK
TestCar_Engine_2000.wav,2000,2500,116.1,0,116.1,OK
TestCar_Engine_2000.wav,2000,3000,224.8,0,224.8,OK
TestCar_Engine_3000.wav,3000,2000,-224.8,0,-224.8,OK
TestCar_Engine_3000.wav,3000,2500,-108.7,0,-108.7,OK
TestCar_Engine_3000.wav,3000,3000,0.0,0,0.0,OK
TestCar_Engine_3000.wav,3000,3500,102.3,0,102.3,OK
TestCar_Engine_3000.wav,3000,4000,198.9,0,198.9,OK
TestCar_Engine_4000.wav,4000,3000,-198.9,0,-198.9,OK
TestCar_Engine_4000.wav,4000,3500,-96.6,0,-96.6,OK
TestCar_Engine_4000.wav,4000,4000,0.0,0,0.0,OK
TestCar_Engine_4000.wav,4000,4500,91.5,0,91.5,OK
TestCar_Engine_4000.wav,4000,5000,178.4,0,178.4,OK
TestCar_Engine_5000.wav,5000,4000,-178.4,0,-178.4,OK
TestCar_Engine_5000.wav,5000,4500,-86.9,0,-86.9,OK
TestCar_Engine_5000.wav,5000,5000,0.0,0,0.0,OK
TestCar_Engine_5000.wav,5000,5500,82.8,0,82.8,OK
TestCar_Engine_5000.wav,5000,6000,161.8,0,161.8,OK
TestCar_Engine_6000.wav,6000,5000,-161.8,0,-161.8,OK
TestCar_Engine_6000.wav,6000,5500,-79.0,0,-79.0,OK
TestCar_Engine_6000.wav,6000,6000,0.0,0,0.0,OK
TestCar_Engine_6000.wav,6000,6500,75.6,0,75.6,OK
TestCar_Engine_6000.wav,6000,7000,147.9,0,147.9,OK
TestCar_Engine_7000.wav,7000,6000,-147.9,0,-147.9,OK
TestCar_Engine_7000.wav,7000,6500,-72.4,0,-72.4,OK
TestCar_Engine_7000.wav,7000,7000,0.0,0,0.0,OK
TestCar_Engine_7000.wav,7000,7500,69.5,0,69.5,OK
TestCar_Engine_7000.wav,7000,8000,136.3,0,136.3,OK
TestCar_Engine_8000.wav,8000,7000,-136.3,0,-136.3,OK
TestCar_Engine_8000.wav,8000,7500,-66.8,0,-66.8,OK
TestCar_Engine_8000.wav,8000,8000,0.0,0,0.0,OK
TestCar_Engine_8000.wav,8000,8500,64.3,0,64.3,OK
TestCar_Engine_8000.wav,8000,9000,126.3,0,126.3,OK
TestCar_Engine_9000.wav,9000,8000,-126.3,0,-126.3,OK
TestCar_Engine_9000.wav,9000,8500,-62.0,0,-62.0,OK
TestCar_Engine_9000.wav,9000,9000,0.0,0,0.0,OK
TestCar_Engine_9000.wav,9000,9500,59.9,0,59.9,OK
TestCar_Engine_9000.wav,9000,10000,117.8,0,117.8,OK
TestCar_Engine_10000.wav,10000,9000,-117.8,0,-117.8,OK
TestCar_Engine_10000.wav,10000,9500,-57.9,0,-57.9,OK
TestCar_Engine_10000.wav,10000,10000,0.0,0,0.0,OK
TestCar_Engine_10000.wav,10000,10500,56.1,0,56.1,OK
TestCar_Engine_10000.wav,10000,11000,110.3,0,110.3,OK
TestCar_Engine_11000.wav,11000,10000,-110.3,0,-110.3,OK
TestCar_Engine_11000.wav,11000,10500,-54.2,0,-54.2,OK
TestCar_Engine_11000.wav,11000,11000,0.0,0,0.0,OK
