Asset,NativeRPM,MeasuredPitch,ModelPitch,RawAssetOffsetCents,AssetOffsetCents,Confidence,Status
TestCar_Engine_1000.wav,1000,-1021.9,-1022.0,-0.13,0,0.7007,OK
TestCar_Engine_2000.wav,2000,-764.0,-763.6,0.35,0,0.8144,OK
TestCar_Engine_3000.wav,3000,-538.5,-538.8,-0.33,0,0.8908,OK
TestCar_Engine_4000.wav,4000,-339.9,-339.9,0.01,0,0.9235,OK
TestCar_Engine_5000.wav,5000,-161.5,-161.5,0.05,0,0.9643,OK
TestCar_Engine_6000.wav,6000,0.0,0.3,0.28,0,0.9817,OK
TestCar_Engine_7000.wav,7000,148.1,148.2,0.15,0,0.9921,OK
TestCar_Engine_8000.wav,8000,284.8,284.5,-0.31,0,0.9950,OK
TestCar_Engine_9000.wav,9000,411.1,410.8,-0.20,0,0.9949,OK
TestCar_Engine_10000.wav,10000,528.8,528.6,-0.21,0,0.9342,OK
TestCar_Engine_11000.wav,11000,638.5,638.9,0.39,0,0.8718,OK
